البطولة,الفريق الأول,الفريق الثاني,ميعاد المباراة,النتيجة,حالة المباراة,القناة
الدوري الإنجليزي,ليفربول,بورنموث,17:00,3 - 1,انتهت,بى ان سبورت بريميوم 1
الدوري الإنجليزي,فولهام,برينتفورد,17:00,0 - 3,انتهت,بى ان سبورت بريميوم 2
الدوري الإنجليزي,وولفرهامبتون,برايتون,17:00,1 - 4,انتهت,بى ان سبورت بريميوم 3
الدوري الإنجليزي,توتنهام هوتسبر,مانشستر يونايتد,19:30,2 - 0,انتهت,بى ان سبورت بريميوم 1
الدوري الإنجليزي,مانشستر سيتي,نيوكاسل,22:00,1 - 0,انتهت,بى ان سبورت بريميوم 1
الدوري الإسباني,ريال سوسيداد,سيلتا فيجو,18:00,1 - 1,انتهت,بى ان سبورت 1HD
الدوري الإسباني,الميريا,ريال مدريد,20:30,1 - 3,انتهت,بى ان سبورت 1HD
الدوري الإسباني,أوساسونا,اتليتك بلباو,22:30,0 - 2,انتهت,بى ان سبورت 1HD
الدوري السعودي,أبها,الرائد,18:00,1 - 0,انتهت,SSc SPORT
الدوري السعودي,الاتحاد,الطــائي,21:00,2 - 0,انتهت,SSc SPORT
الدوري السعودي,الهلال,الفيحاء,21:00,1 - 1,انتهت,SSc SPORT
الدوري الإيطالي,إمبولي,هيلاس فيرونا,19:30,0 - 1,انتهت,Starz Play App
الدوري الإيطالي,فروزينوني,نابولي,19:30,1 - 3,انتهت,Starz Play App
الدوري الإيطالي,جنوى,فيورنتينا,21:45,1 - 4,انتهت,Starz Play App
الدوري الإيطالي,إنتر ميلان,مونزا,21:45,2 - 0,انتهت,Starz Play App
الدوري الألماني,باير ليفركوزن,لايبزيج,16:30,3 - 2,انتهت,بى ان سبورت 3 HD
الدوري الألماني,شتوتجارت,بوخوم,16:30,5 - 0,انتهت,No channel information available
الدوري الألماني,فولفسبورج,هايدنهايم,16:30,2 - 0,انتهت,No channel information available
الدوري الألماني,هوفنهايم,فرايبورج,16:30,1 - 2,انتهت,بى ان سبورت 7 HD
الدوري الألماني,أوجسبورج,مونشنجلادباخ,16:30,4 - 4,انتهت,بى ان سبورت 4 HD
الدوري الألماني,بروسيا دورتموند,كولن,19:30,1 - 0,انتهت,بى ان سبورت 3 HD
الدوري الفرنسي,ليون,مونبيليه,20:00,1 - 4,انتهت,بى ان سبورت 2 HD
الدوري الفرنسي,تولوز,ب. س. جيرمان,22:00,1 - 1,انتهت,بى ان سبورت 2 HD
دوري أبطال إفريقيا,الجيش الرواندي,غاديدكا,16:00,1 - 1,انتهت,No channel information available
الكونفيدرالية الإفريقية,أرتا سولار,هورسيد,16:00,3 - 0,انتهت,No channel information available
الدوري التركي,ريزه سبور,ألانيا سبور,19:15,0 - 0,انتهت,No channel information available
الدوري التركي,هاتاي سبور,قاسم باشا,21:45,0 - 0,انتهت,No channel information available
الدوري التركي,جالاتا سراي,طرابزون سبور,21:45,2 - 0,انتهت,No channel information available
الدوري التونسي,سليمان الرياضي,الملعب التونسي,18:30,1 - 2,انتهت,No channel information available
الدوري التونسي,الترجى الرياضي,مستقبل المرسى,18:30,1 - 0,انتهت,No channel information available
الدوري التونسي,إتحاد بن قردان,الافريقي التونسي,18:30,0 - 1,انتهت,No channel information available
الدوري البرتغالي,فيتوريا جيماريش,جل فيسنتي,17:30,2 - 1,انتهت,No channel information available
الدوري البرتغالي,شافيش,سبورتينج براجا,20:00,2 - 4,انتهت,No channel information available
الدوري البرتغالي,بورتيمونينسي,بوافيستا,22:30,1 - 3,انتهت,No channel information available
الدوري البرتغالي,بنفيكا,إستريلا,22:30,2 - 0,انتهت,No channel information available
الدوري الإماراتي,خورفكان,حتا,17:00,2 - 1,انتهت,No channel information available
الدوري الإماراتي,الوصل,نادي الامارات,17:00,1 - 0,انتهت,No channel information available
الدوري الإماراتي,النصر الإماراتي,الجــزيرة,19:30,1 - 3,انتهت,No channel information available
